Info : 377 948 ftdi.c:301 ftdi_speed(): ftdi: if you experience problems at higher adapter clocks, try the command "ftdi_tdo_sample_edge falling"
Info : 380 948 core.c:1479 adapter_init(): clock speed 10000 kHz
Info : 389 1449 core.c:1037 jtag_examine_chain_display(): JTAG tap: nds.tap tap/device found: 0x1000563d (mfg: 0x31e (Andes Technology Corporation), part: 0x0005, ver: 0x1)
User : 656 1592 command.c:546 command_print(): configure: bak_debug_buf = 0x00200000
Debug: 657 1593 nds32_v5_cmd.c:502 handle_ndsv5_configure_command(): p_nds_bak_debug_buffer_start = 0xffd90008, p_nds_bak_debug_buffer_end = 0xfff90008
User : 660 1593 command.c:546 command_print(): configure: tdesc_bit ndsv5_tdesc_bitfield.xml
User : 663 1593 command.c:546 command_print(): configure: aligned_access
User : 666 1593 command.c:546 command_print(): configure: reg_symbolic_name
User : 669 1593 command.c:546 command_print(): configure: scan_retry_times = 0x00000003
User : 672 1593 command.c:546 command_print(): configure: jtag_scans_optimize = 0x00000004
User : 677 1593 command.c:546 command_print(): configure: jtag_max_scans = 0x00000040
User : 680 1593 command.c:546 command_print(): configure: dis_condition_break = 0x00000001
User : 683 1593 command.c:546 command_print(): configure: wip_bytes_per_dot = 0x00002000
User : 686 1593 command.c:546 command_print(): configure: dmi_quick_access = 0x00000000
User : 689 1593 command.c:546 command_print(): configure: dmi_access_mem = 0x00000000
User : 693 1593 command.c:546 command_print(): configure: log_file_size = 0x00a00000
User : 696 1593 command.c:546 command_print(): configure: desc Andes_v4.5.1_BUILD_ID_2019051618
User : 699 1594 command.c:546 command_print(): configure: burn_port 2354
Info : 701 1594 server.c:337 add_service(): Listening on port 2354 for burner connections
User : 704 1594 command.c:546 command_print(): configure: halt_on_reset = 0x00000000
Info : 709 1594 server.c:337 add_service(): Listening on port 6666 for tcl connections
Info : 710 1594 server.c:337 add_service(): Listening on port 4444 for telnet connections
Info : 757 1596 core.c:1037 jtag_examine_chain_display(): JTAG tap: nds.tap tap/device found: 0x1000563d (mfg: 0x31e (Andes Technology Corporation), part: 0x0005, ver: 0x1)
Error: 845 1609 riscv-013.c:857 execute_abstract_command(): command 0x321008 failed; abstractcs=0x8000304
Debug: 860 1627 riscv-013.c:1466 register_read_direct(): [nds.tap] hart[0] reg[misa] = 0x40901105 
Debug: 862 1628 nds32_v5_cmd.c:1784 ndsv5_redefine_CSR_name(): ndsv5_redefine_CSR_name
Debug: 886 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 948, pmpaddr4
Debug: 887 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 949, pmpaddr5
Debug: 888 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 950, pmpaddr6
Debug: 889 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 951, pmpaddr7
Debug: 890 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 952, pmpaddr8
Debug: 891 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 953, pmpaddr9
Debug: 892 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 954, pmpaddr10
Debug: 893 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 955, pmpaddr11
Debug: 894 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 956, pmpaddr12
Debug: 895 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 957, pmpaddr13
Debug: 896 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 958, pmpaddr14
Debug: 897 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 959, pmpaddr15
Debug: 898 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2816, mcycle
Debug: 899 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2818, minstret
Debug: 900 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2819, mhpmcounter3
Debug: 901 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2820, mhpmcounter4
Debug: 902 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2821, mhpmcounter5
Debug: 903 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2822, mhpmcounter6
Debug: 904 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2944, mcycleh
Debug: 905 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2946, minstreth
Debug: 906 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2947, mhpmcounter3h
Debug: 907 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2948, mhpmcounter4h
Debug: 908 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2949, mhpmcounter5h
Debug: 909 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2950, mhpmcounter6h
Debug: 910 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 803, mhpmevent3
Debug: 911 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 804, mhpmevent4
Debug: 912 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 805, mhpmevent5
Debug: 913 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 806, mhpmevent6
Debug: 914 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 774, mcounteren
Debug: 915 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1952, tselect
Debug: 916 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1953, tdata1
Debug: 917 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1954, tdata2
Debug: 918 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1955, tdata3
Debug: 919 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1968, dcsr
Debug: 920 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1969, dpc
Debug: 921 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1970, dscratch0
Debug: 922 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1971, dscratch1
Debug: 923 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 4032, micm_cfg
Debug: 924 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 4033, mdcm_cfg
Debug: 925 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 4034, mmsc_cfg
Debug: 926 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1984, milmb
Debug: 927 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1985, mdlmb
Debug: 928 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1986, mecc_code
Debug: 929 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1987, mnvec
Debug: 930 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1994, mcache_ctl
Debug: 931 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1995, mcctlbeginaddr
Debug: 932 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1996, mcctlcommand
Debug: 933 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1997, mcctldata
Debug: 934 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1990, mhsp_ctl
Debug: 935 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1991, msp_bound
Debug: 936 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1992, msp_base
Debug: 937 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1988, mxstatus
Debug: 938 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1993, mdcause
Debug: 939 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1989, mpft_ctl
Debug: 940 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2000, mmisc_ctl
Debug: 941 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1998, mcounterwen
Debug: 942 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1999, mcounterinten
Debug: 943 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2001, mcountermask_m
Debug: 944 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2002, mcountermask_s
Debug: 945 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2003, mcountermask_u
Debug: 946 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2004, mcounterovf
Debug: 947 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2016, dexc2dbg
Debug: 948 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2017, ddcause
Debug: 949 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 256, sstatus
Debug: 950 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 260, sie
Debug: 951 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 261, stvec
Debug: 952 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 262, scounteren
Debug: 953 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 320, sscratch
Debug: 954 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 321, sepc
Debug: 955 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 322, scause
Debug: 956 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 323, stval
Debug: 957 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 324, sip
Debug: 958 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 384, satp
Debug: 959 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2505, sdcause
Debug: 960 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2511, scounterinten
Debug: 961 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2513, scountermask_m
Debug: 962 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2514, scountermask_s
Debug: 963 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2515, scountermask_u
Debug: 964 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2516, scounterovf
Debug: 965 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2509, scctldata
Debug: 966 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2509, smisc_ctl
Debug: 967 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3072, cycle
Debug: 968 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3074, instret
Debug: 969 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3075, hpmcounter3
Debug: 970 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3076, hpmcounter4
Debug: 971 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3077, hpmcounter5
Debug: 972 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3078, hpmcounter6
Debug: 973 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3200, cycleh
Debug: 974 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3202, instreth
Debug: 975 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3203, hpmcounter3h
Debug: 976 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3204, hpmcounter4h
Debug: 977 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3205, hpmcounter5h
Debug: 978 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3206, hpmcounter6h
Debug: 979 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 1, fflags
Debug: 980 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2, frm
Debug: 981 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3, fcsr
Debug: 982 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2048, uitb
Debug: 983 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2059, ucctlbeginaddr
Debug: 984 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2060, ucctlcommand
Debug: 985 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2005, mslideleg
Debug: 986 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2500, slie
Debug: 987 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2501, slip
Debug: 988 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2531, shpmevent3
Debug: 989 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2532, shpmevent4
Debug: 990 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2533, shpmevent5
Debug: 991 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2534, shpmevent6
Debug: 992 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2006, msavestatus
Debug: 993 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2007, msaveepc1
Debug: 994 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2008, msavecause1
Debug: 995 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2009, msaveepc2
Debug: 996 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2010, msavecause2
Debug: 997 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2011, msavedcause1
Debug: 998 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2012, msavedcause2
Debug: 999 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 800, mcountinhibit
Debug: 1000 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2528, scountinhibit
Debug: 1001 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 0, ustatus
Debug: 1002 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 4, uie
Debug: 1003 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 5, utvec
Debug: 1004 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 64, uscratch
Debug: 1005 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 65, uepc
Debug: 1006 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 66, ucause
Debug: 1007 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 67, utval
Debug: 1008 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 68, uip
Debug: 1009 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2057, udcause
Debug: 1010 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2064, wfe
Debug: 1011 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2065, sleepvalue
Debug: 1012 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2066, txevt
Debug: 1013 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 775, mtvt
Debug: 1014 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 837, mnxti
Debug: 1015 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 838, mintstatus
Debug: 1016 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 840, mscratchcsw
Debug: 1017 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 841, mscratchcswl
Debug: 1018 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2049, ucode
Debug: 1019 1629 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 2028, mirq_entry
Debug: 1022 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 0, zero
Debug: 1023 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 1, ra
Debug: 1024 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 2, sp
Debug: 1025 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 3, gp
Debug: 1026 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 4, tp
Debug: 1027 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 5, t0
Debug: 1028 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 6, t1
Debug: 1029 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 7, t2
Debug: 1030 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 8, fp
Debug: 1031 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 9, s1
Debug: 1032 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 10, a0
Debug: 1033 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 11, a1
Debug: 1034 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 12, a2
Debug: 1035 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 13, a3
Debug: 1036 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 14, a4
Debug: 1037 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 15, a5
Debug: 1038 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 16, a6
Debug: 1039 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 17, a7
Debug: 1040 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 18, s2
Debug: 1041 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 19, s3
Debug: 1042 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 20, s4
Debug: 1043 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 21, s5
Debug: 1044 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 22, s6
Debug: 1045 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 23, s7
Debug: 1046 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 24, s8
Debug: 1047 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 25, s9
Debug: 1048 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 26, s10
Debug: 1049 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 27, s11
Debug: 1050 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 28, t3
Debug: 1051 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 29, t4
Debug: 1052 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 30, t5
Debug: 1053 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 31, t6
Debug: 1054 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 32, pc
Debug: 1055 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 33, ft0
Debug: 1056 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 34, ft1
Debug: 1057 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 35, ft2
Debug: 1058 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 36, ft3
Debug: 1059 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 37, ft4
Debug: 1060 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 38, ft5
Debug: 1061 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 39, ft6
Debug: 1062 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 40, ft7
Debug: 1063 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 41, fs0
Debug: 1064 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 42, fs1
Debug: 1065 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 43, fa0
Debug: 1066 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 44, fa1
Debug: 1067 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 45, fa2
Debug: 1068 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 46, fa3
Debug: 1069 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 47, fa4
Debug: 1070 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 48, fa5
Debug: 1071 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 49, fa6
Debug: 1072 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 50, fa7
Debug: 1073 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 51, fs2
Debug: 1074 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 52, fs3
Debug: 1075 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 53, fs4
Debug: 1076 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 54, fs5
Debug: 1077 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 55, fs6
Debug: 1078 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 56, fs7
Debug: 1079 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 57, fs8
Debug: 1080 1629 nds32_v5_cmd.c:1859 ndsv5_redefine_GPR_FPU_name(): 58, fs9
